No,1,2,3
Test Parameter,,,
Test time,23:51:02,23:51:08,23:51:17
孜(lm),180.39,309.66,58.02
灰(lm/W),6.9,2.83,7.07
CCT(K),1001,8115,100000
Duv,-0.0061,0.16166,-0.08023
x,0.6887,0.1563,0.1536
y,0.3112,0.7286,0.0227
u,0.5142,0.0547,0.2072
v,0.3485,0.3825,0.046
u',0.5142,0.0547,0.2072
v',0.5228,0.5737,0.0689
SDCM,100,100,100
Ra,28.6,-25.4,-61.5
R1,11,-36,-22
R2,73,-10,-75
R3,46,-24,-99
R4,-9,-68,-96
R5,15,-11,-7
R6,82,-16,-83
R7,31,-7,-68
R8,-20,-31,-42
R9,-99,-99,-99
R10,68,-99,-99
R11,-6,-97,-99
R12,79,-31,-99
R13,28,-42,-52
R14,68,38,-45
R15,-8,-32,-7
孜e(mW),1382.422,647.075,1872.758
Ebh(mW),0,0,0.16
Bek(uW/lm),0.01,0.1,28.42
S/P,0.064,2.936,25.078
TM-30 Rf,20.26,0.57,0
TM-30 Rg,-0.03,6.5,4.94
Dominant(nm),618.7,524.8,453.6
Purity(%),100,80.1,99.5
HalfWidth(nm),64,33.6,19.1
Peak(nm),635.8,519.7,448.7
Center(nm),642.3,521.1,449.3
Centroid(nm),649.6,523.6,450.8
R ratio(%),97.5,0.3,0
G ratio(%),2.5,91.7,0.2
B ratio(%),0,8,99.8
CIE1931 X,584.514,97.284,574.374
CIE1931 Y,264.111,453.386,84.952
CIE1931 Z,0.134,71.591,3080.251
TLCI-2012,3,3,0
FlickerFrequency Hz,0,60.2,60.19
FluctuateDepth(%),0,6.1,6.1
BinkPercent(%),0,6.1,6.1
BinkExponent,0,0,0
孜eb(mW),0,54.499,1872.649
孜eg(mW),39.193,590.774,3.565
孜er(mW),1261.937,6.002,0.005
孜euv(mW),0,0,0
孜efr(mW),0,0,0
孜eir(mW),0.118,0,0
孜ec(mW),0,0,0
孜erb Ratio,0,0.11,0
PAR(mW),1381.565,647.075,1876.219
EchA(mW),0,0,0
EchB(mW),0,0,0
PPF(umol/s),6.896,2.832,7.071
PPF_UV(umol/s),0,0,0
PPF_B(umol/s),0,0.224,7.056
PPF_G(umol/s),0.194,2.599,0.015
PPF_R(umol/s),6.702,0.009,0
PPF_FR(umol/s),0.607,0,0
PPF_IR(umol/s),0,0,0
Kppfv(umol/s/klm),38.229,9.146,121.864
YPF(umol/s),6.553,2.162,5.215
孜ep(mW),1217.895,492.563,1387.277
ESuv(mW/c呢),0,0,0
Euvc(mW/c呢),0,0,0
Euvb(mW/c呢),0,0,0
Euva(mW/c呢),0,0,0
Integral Time(ms),17,17,4
Peak Signal,40312,55438,54873
Dark Signal,3237,3242,3213
Compensate level,2894,2894,2894
Voltage(V),1,1,1
Current(A),1,1,1
Power(W),1,1,1
Power Factor,1,1,1
Test date,2024-06-15,2024-06-15,2024-06-15
Instrument Status,,,
Type,OHSP350MU,OHSP350MU,OHSP350MU
SN,351544408,351544408,351544408
Start Wave(nm),380,380,380
End Wave(nm),780,780,780
Product Mark,,,
Product Model,,,
Manufacture,,,
Temperature(∼��),,,
Humidity(%),,,
Tester,,,
Electrical Parameter,,,
Voltage(V),1,1,1
Current(A),1,1,1
Power(W),1,1,1
Pf,1,1,1
Spectrum Data(mW/m2/nm),,,
380nm,0,0,0
381nm,0,0,0
382nm,0,0,0
383nm,0,0,0
384nm,0,0,0
385nm,0,0,0
386nm,0,0,0
387nm,0,0,0
388nm,0,0,0
389nm,0,0,0
390nm,0,0,0
391nm,0,0,0
392nm,0,0,0
393nm,0,0,0
394nm,0,0,0
395nm,0,0,0
396nm,0,0,0
397nm,0,0,0
398nm,0,0,0
399nm,0,0,0
400nm,0,0,0
401nm,0,0,0
402nm,0,0,0
403nm,0,0,0
404nm,0,0,0
405nm,0,0,0
406nm,0,0,0
407nm,0,0,0
408nm,0,0,0
409nm,0,0,0
410nm,0,0,0.003669
